,FIPS,air_particulate,Year
274,8043,5,2019
275,8045,5.1,2019
276,8047,4.6,2019
277,8049,4.1,2019
278,8051,4.2,2019
279,8053,3.8,2019
280,8055,4.4,2019
281,8057,3.4,2019
282,8059,8.4,2019
283,8061,5.8,2019
284,8063,6.1,2019
285,8065,3.9,2019
286,8067,5,2019
287,8069,6.6,2019
288,8071,4.8,2019
289,8073,5.5,2019
290,8075,5.7,2019
291,8077,6.4,2019
292,8079,3.8,2019
293,8081,4.3,2019
294,8083,5.1,2019
295,8085,5,2019
296,8087,6.3,2019
297,8089,5.7,2019
298,8091,4.1,2019
299,8093,4.5,2019
300,8095,5.9,2019
301,8097,4,2019
302,8099,6.4,2019
303,8101,6,2019
304,8103,5.7,2019
305,8105,4.4,2019
306,8107,3.9,2019
307,8109,4.1,2019
308,8111,4,2019
309,8113,4.6,2019
310,8115,5.7,2019
311,8117,4.1,2019
312,8119,5,2019
313,8121,5.7,2019
314,8123,8.6,2019
315,8125,5.9,2019
316,9000,8,2019
317,9001,10,2019
318,9003,7.6,2019
319,9005,7.9,2019
320,9007,8.6,2019
321,9009,8.4,2019
322,9011,7.8,2019
323,9013,8.1,2019
324,9015,7.2,2019
325,10000,9.3,2019
326,10001,9.3,2019
327,10003,10,2019
328,10005,9.2,2019
329,11000,9.7,2019
330,11001,9.7,2019
331,12000,8.2,2019
332,12001,8.3,2019
333,12003,8.4,2019
334,12005,9.8,2019
335,12007,8.1,2019
336,12009,7.3,2019
337,12011,6.6,2019
338,12013,9.7,2019
339,12015,7.7,2019
340,12017,8.1,2019
341,12019,8.6,2019
342,12021,7.7,2019
343,12023,8.8,2019
344,12027,7.5,2019
345,12029,8.1,2019
346,12031,8.5,2019
347,12033,9.9,2019
348,12035,7.5,2019
349,12037,9.1,2019
350,12039,10.6,2019
351,12041,8.2,2019
352,12043,7.1,2019
353,12045,9.1,2019
354,12047,9.2,2019
355,12049,7.6,2019
356,12051,7.3,2019
357,12053,8.3,2019
358,12055,7.5,2019
359,12057,7.1,2019
360,12059,10.1,2019
361,12061,7,2019
362,12063,10.5,2019
363,12065,10,2019
364,12067,8.7,2019
365,12069,8.2,2019
366,12071,7.6,2019
367,12073,10.5,2019
368,12075,8.2,2019
369,12077,9.3,2019
370,12079,9.7,2019
371,12081,8.1,2019
372,12083,8.5,2019
373,12085,7.1,2019
374,12086,7.2,2019
375,12087,8,2019
376,12089,8.9,2019
377,12091,10.1,2019
378,12093,7.1,2019
379,12095,6.9,2019
380,12097,8.1,2019
381,12099,5.9,2019
382,12101,8.6,2019
383,12103,6.8,2019
384,12105,8.3,2019
385,12107,8,2019
386,12109,8.4,2019
387,12111,7,2019
388,12113,10.1,2019
389,12115,7.8,2019
390,12117,7.7,2019
391,12119,8.3,2019
392,12121,9.1,2019
393,12123,9,2019
394,12125,8.1,2019
395,12127,7.6,2019
396,12129,9.7,2019
397,12131,10.1,2019
398,12133,10,2019
399,13000,10.9,2019
400,13001,10.6,2019
401,13003,10.4,2019
402,13005,10.4,2019
403,13007,10.8,2019
404,13009,11.4,2019
405,13011,10.4,2019
406,13013,11.1,2019
407,13015,11.2,2019
408,13017,10.7,2019
409,13019,10.8,2019
410,13021,11.3,2019
411,13023,11,2019
412,13025,9.5,2019
413,13027,10.7,2019
414,13029,10.3,2019
415,13031,10.6,2019
416,13033,11,2019
417,13035,11.3,2019
418,13037,10.6,2019
419,13039,9,2019
420,13043,10.5,2019
421,13045,11.1,2019
422,13047,11,2019
423,13049,8.9,2019
424,13051,9.9,2019
425,13053,11.5,2019
426,13055,10.9,2019
427,13057,11.2,2019
428,13059,11,2019
429,13061,10.5,2019
430,13063,11.5,2019
431,13065,9.6,2019
432,13067,10.5,2019
433,13069,10.8,2019
434,13071,11,2019
435,13073,11.2,2019
436,13075,10.7,2019
437,13077,11.3,2019
438,13079,11.4,2019
439,13081,11,2019
440,13083,10.5,2019
441,13085,10,2019
442,13087,10.9,2019
443,13089,10.2,2019
444,13091,11.1,2019
445,13093,11.2,2019
446,13095,10.7,2019
447,13097,11.4,2019
448,13099,10.8,2019
449,13101,9.5,2019
450,13103,10.4,2019
451,13105,10.6,2019
452,13107,10.7,2019
453,13109,10.4,2019
454,13111,9.4,2019
455,13113,11.5,2019
456,13115,10.9,2019
457,13117,11.2,2019
458,13119,10.5,2019
459,13121,12,2019
460,13123,9.9,2019
461,13125,10.6,2019
462,13127,8.9,2019
463,13129,11,2019
464,13131,11.1,2019
465,13133,11.1,2019
466,13135,11.2,2019
467,13137,9.7,2019
468,13139,10.5,2019
469,13141,10.9,2019
470,13143,10.7,2019
471,13145,11.3,2019
472,13147,10.6,2019
473,13149,10.8,2019
474,13151,11.7,2019
475,13153,11.3,2019
476,13155,10.6,2019
477,13157,11,2019
478,13159,11.3,2019
479,13161,10.6,2019
480,13163,11,2019
481,13165,10.4,2019
482,13167,10.8,2019
483,13169,11.6,2019
484,13171,11.2,2019
485,13173,10.1,2019
486,13175,11.2,2019
487,13177,11.2,2019
488,13179,10.2,2019
489,13181,10.4,2019
490,13183,10.2,2019
491,13185,10.4,2019
492,13187,9.6,2019
493,13189,10.9,2019
494,13191,9.4,2019
495,13193,11.4,2019
496,13195,10.9,2019
497,13197,11,2019
498,13199,11,2019
499,13201,10.6,2019
500,13205,11.1,2019
501,13207,11.5,2019
502,13209,10.7,2019
503,13211,11.3,2019
504,13213,10.5,2019
505,13215,11.9,2019
506,13217,11.5,2019
507,13219,11.1,2019
508,13221,10.9,2019
509,13223,10.7,2019
510,13225,11.5,2019
511,13227,10.2,2019
512,13229,10.1,2019
513,13231,11.1,2019
514,13233,10.9,2019
515,13235,11,2019
516,13237,11.3,2019
517,13239,10.9,2019
518,13241,8.8,2019
519,13243,10.7,2019
520,13245,11.3,2019
521,13247,11.6,2019
522,13249,11.1,2019
523,13251,10.4,2019
524,13253,10.4,2019
525,13255,11.3,2019
526,13257,9.8,2019
527,13259,11,2019
528,13261,11.4,2019
529,13263,11,2019
530,13265,10.5,2019
531,13267,10.6,2019
532,13269,11.2,2019
533,13271,10.8,2019
534,13273,10.9,2019
535,13275,11.2,2019
536,13277,10.9,2019
537,13279,10.7,2019
538,13281,8.7,2019
539,13283,10.6,2019
540,13285,11.2,2019
541,13287,10.7,2019
542,13289,11.2,2019
543,13291,9,2019
544,13293,11.2,2019
545,13295,11,2019
546,13297,11.4,2019
547,13299,10.1,2019
548,13301,10.8,2019
549,13303,10.8,2019
550,13305,10.2,2019
551,13307,10.9,2019
552,13309,10.7,2019
553,13311,9.4,2019
554,13313,10.9,2019
555,13315,10.9,2019
556,13317,10.6,2019
557,13319,11.3,2019
558,13321,11,2019
559,15000,NA,2019
560,15001,NA,2019
561,15003,NA,2019
562,15005,NA,2019
563,15007,NA,2019
564,15009,NA,2019
565,16000,7.4,2019
566,16001,10.6,2019
567,16003,6.6,2019
568,16005,6.7,2019
569,16007,5.4,2019
570,16009,9.5,2019
571,16011,7.4,2019
572,16013,6.2,2019
573,16015,5.9,2019
574,16017,10,2019
575,16019,7.8,2019
576,16021,7.1,2019
577,16023,5.8,2019
578,16025,5.4,2019
579,16027,10.7,2019
580,16029,5.9,2019
581,16031,7.1,2019
582,16033,6.2,2019
583,16035,8.8,2019
584,16037,5.9,2019
585,16039,7.3,2019
586,16041,5.9,2019
587,16043,6.7,2019
588,16045,9.4,2019
589,16047,7.5,2019
590,16049,8.9,2019
591,16051,7.8,2019
592,16053,7.9,2019
593,16055,11.8,2019
594,16057,9.3,2019
595,16059,9,2019
596,16061,8.5,2019
597,16063,6.6,2019
598,16065,7.4,2019
599,16067,7.4,2019
600,16069,9,2019
601,16071,6,2019
602,16073,8,2019
603,16075,9.2,2019
604,16077,6.5,2019
605,16079,9.7,2019
606,16081,5.4,2019
607,16083,7.6,2019
608,16085,6.6,2019
609,16087,7.5,2019
610,17000,11.5,2019
611,17001,10.7,2019
612,17003,11.3,2019
613,17005,11.3,2019
614,17007,11.4,2019
615,17009,10.3,2019
616,17011,11.5,2019
617,17013,10.8,2019
618,17015,10.7,2019
619,17017,10.8,2019
620,17019,11.8,2019
621,17021,11.5,2019
622,17023,11.4,2019
623,17025,11.6,2019
624,17027,11.6,2019
625,17029,11.6,2019
626,17031,15,2019
627,17033,11.7,2019
628,17035,11.6,2019
629,17037,12.1,2019
630,17039,11.5,2019
631,17041,11.5,2019
632,17043,13.2,2019
633,17045,11.3,2019
634,17047,11.7,2019
635,17049,11.8,2019
636,17051,11.5,2019
637,17053,11.5,2019
638,17055,11.7,2019
639,17057,11.2,2019
640,17059,11.4,2019
641,17061,10.8,2019
642,17063,12,2019
643,17065,11.3,2019
644,17067,10.8,2019
645,17069,11.1,2019
646,17071,10.7,2019
647,17073,11.3,2019
648,17075,11.7,2019
649,17077,11.5,2019
650,17079,11.6,2019
651,17081,11.6,2019
652,17083,11,2019
653,17085,10.3,2019
654,17087,11.2,2019
655,17089,12.8,2019
656,17091,12.3,2019
657,17093,12.4,2019
658,17095,11.1,2019
659,17097,12.6,2019
660,17099,12,2019
661,17101,11.8,2019
662,17103,11.4,2019
663,17105,11.6,2019
664,17107,11.5,2019
665,17109,10.8,2019
666,17111,12.1,2019
667,17113,11.7,2019
668,17115,11.8,2019
669,17117,11.5,2019
670,17119,12.6,2019
671,17121,11.6,2019
672,17123,11.5,2019
673,17125,11.2,2019
674,17127,11.2,2019
675,17129,11.1,2019
676,17131,10.8,2019
677,17133,11.3,2019
678,17135,11.4,2019
679,17137,10.9,2019
680,17139,11.5,2019
681,17141,11.5,2019
682,17143,11.9,2019
683,17145,11.4,2019
684,17147,11.6,2019
685,17149,10.6,2019
686,17151,11.1,2019
687,17153,11.1,2019
688,17155,11.3,2019
689,17157,11,2019
690,17159,11.7,2019
691,17161,11,2019
692,17163,11.9,2019
693,17165,11.5,2019
694,17167,11.5,2019
695,17169,10.6,2019
696,17171,10.6,2019
697,17173,11.6,2019
698,17175,11,2019
699,17177,10.7,2019
700,17179,12.1,2019
701,17181,11.2,2019
702,17183,11.6,2019
703,17185,11.8,2019
704,17187,10.9,2019
705,17189,11.3,2019
706,17191,11.6,2019
707,17193,11.6,2019
708,17195,11.2,2019
709,17197,13.3,2019
710,17199,11.6,2019
711,17201,11.5,2019
712,17203,11.9,2019
713,18000,11.75,2019
714,18001,12.5,2019
715,18003,12.6,2019
716,18005,11.2,2019
717,18007,11,2019
718,18009,11.7,2019
719,18011,12,2019
720,18013,10.8,2019
721,18015,11.6,2019
722,18017,12,2019
723,18019,12,2019
724,18021,11.2,2019
725,18023,11.5,2019
726,18025,11.6,2019
727,18027,12.1,2019
728,18029,11.8,2019
729,18031,11.4,2019
730,18033,12.4,2019
731,18035,11.5,2019
732,18037,11.9,2019
733,18039,13.1,2019
734,18041,11.2,2019
735,18043,12,2019
736,18045,11.1,2019
737,18047,11.4,2019
738,18049,12,2019
739,18051,12.2,2019
740,18053,12,2019
741,18055,10.9,2019
742,18057,11.6,2019
743,18059,11.9,2019
744,18061,12.3,2019
745,18063,12.2,2019
746,18065,11,2019
747,18067,11.6,2019
748,18069,12.3,2019
749,18071,11.3,2019
750,18073,12,2019
751,18075,12.1,2019
752,18077,11.3,2019
753,18079,11.3,2019
754,18081,12.1,2019
755,18083,12.2,2019
756,18085,12.8,2019
757,18087,12.7,2019
758,18089,14.3,2019
759,18091,12.4,2019
760,18093,11.1,2019
761,18095,11.4,2019
762,18097,12.8,2019
763,18099,12.7,2019
764,18101,11.4,2019
765,18103,12.1,2019
766,18105,10.4,2019
767,18107,11.3,2019
768,18109,11.8,2019
769,18111,11.7,2019
770,18113,12.8,2019
771,18115,11.4,2019
772,18117,11.4,2019
773,18119,10.8,2019
774,18121,11.1,2019
775,18123,12.1,2019
776,18125,12.3,2019
